key,value,file
concept,name,ddf--concepts.csv
concept,concept_type,ddf--concepts.csv
"country,year",ear_inee_noc_nb,ddf--datapoints--ear_inee_noc_nb--by--country--year.csv
"country,year",ear_l5l1_noc_rt,ddf--datapoints--ear_l5l1_noc_rt--by--country--year.csv
"country,year",ear_l9l1_noc_rt,ddf--datapoints--ear_l9l1_noc_rt--by--country--year.csv
"country,year",ear_l9l5_noc_rt,ddf--datapoints--ear_l9l5_noc_rt--by--country--year.csv
"country,year",ear_mnee_noc_nb,ddf--datapoints--ear_mnee_noc_nb--by--country--year.csv
"country,year",ear_mree_mod_nb,ddf--datapoints--ear_mree_mod_nb--by--country--year.csv
"country,year",ear_mree_noc_gr,ddf--datapoints--ear_mree_noc_gr--by--country--year.csv
"country,year",ear_xees_mod_nb,ddf--datapoints--ear_xees_mod_nb--by--country--year.csv
"country,sex,year",ear_xees_sex_nb,ddf--datapoints--ear_xees_sex_nb--by--country--sex--year.csv
"country,year",ear_xflp_noc_rt,ddf--datapoints--ear_xflp_noc_rt--by--country--year.csv
"country,year",ear_xfls_noc_rt,ddf--datapoints--ear_xfls_noc_rt--by--country--year.csv
"country,year",ear_xtlp_noc_rt,ddf--datapoints--ear_xtlp_noc_rt--by--country--year.csv
"country,year",ear_xxgc_noc_rt,ddf--datapoints--ear_xxgc_noc_rt--by--country--year.csv
"country,year",lap_egva_noc_rt,ddf--datapoints--lap_egva_noc_rt--by--country--year.csv
"country,year",lap_wgva_noc_rt,ddf--datapoints--lap_wgva_noc_rt--by--country--year.csv
country,name,ddf--entities--country.csv
sex,name,ddf--entities--sex.csv
